method,gamma,return,volatility
OSQP,0.01,0.19194337754985843,0.14801280980624337
OSQP,0.010317219334529941,0.19227192529163195,0.14803535746369703
OSQP,0.010644501479679849,0.1926108949124966,0.14805935447137858
OSQP,0.01098216564725855,0.1929606173051026,0.14808489381696124
OSQP,0.01133054117509065,0.19332143356817377,0.148112074338366
OSQP,0.011689967848233283,0.1936936956207309,0.14814100116882795
OSQP,0.01206079623038258,0.1940777665453463,0.14817178613279378
OSQP,0.012443388005792904,0.19447402094227367,0.14820454816603756
OSQP,0.012838116332042453,0.19488284529481076,0.14823941376139504
OSQP,0.013245366203989306,0.19530463834625278,0.14827651744158296
OSQP,0.013665534829272791,0.1957398114888039,0.14831600226063454
OSQP,0.014099032015726563,0.19618878916482352,0.14835802033555534
OSQP,0.014546280571081073,0.19665200928080373,0.14840273340988053
OSQP,0.015007716715345489,0.19712992363447693,0.14845031345088192
OSQP,0.015483790506271073,0.19762299835547373,0.14850094328225458
OSQP,0.015974966278311103,0.19813171435995755,0.14855481725418226
OSQP,0.016481723095505524,0.19865656781968194,0.14861214195275896
OSQP,0.017004555218731825,0.19919807064592815,0.14867313695081671
OSQP,0.017543972587778206,0.19975675098879334,0.14873803560228008
OSQP,0.01810050131870886,0.20030837487082723,0.14880409583264315
OSQP,0.018674684217006774,0.2008537249144583,0.14887146902634288
OSQP,0.019267081306994352,0.20141637428270406,0.14894315090478696
OSQP,0.019878270378048252,0.2019968719767676,0.14901941480498546
OSQP,0.02050884754814132,0.20259578418005167,0.14910055106401363
OSQP,0.02115942784526107,0.20321369503639267,0.14918686808266776
OSQP,0.021830645807271874,0.20385120721979824,0.14927869340607836
OSQP,0.022523156100806047,0.20450894252226143,0.14937637486339128
OSQP,0.023237634159787215,0.20518754246021897,0.14948028176901565
OSQP,0.02397477684420902,0.20588766890024954,0.14959080618795598
OSQP,0.0247353031198114,0.2066100047046193,0.14970836426773568
OSQP,0.025519954759317696,0.20735525439730634,0.1498333976393951
OSQP,0.026329497065916203,0.20812414485115033,0.1499663748899997
OSQP,0.027164719619692,0.20891742599680393,0.15010779310903133
OSQP,0.028026437047737128,0.20978268353482876,0.1502668648803265
OSQP,0.028915489818689973,0.21076844357217128,0.15045352029790002
OSQP,0.029832745062479196,0.21178547420249252,0.15065195161664985
OSQP,0.0307790974160713,0.21283476701078924,0.15086288509061135
OSQP,0.031755469896047134,0.2139173454157231,0.1510870896918966
OSQP,0.03276281479885812,0.2150342653007765,0.15132537932641987
OSQP,0.033802114629640265,0.21604856827549698,0.15154811120101894
OSQP,0.03487438306049219,0.21700000033250622,0.15176353659564276
OSQP,0.03598066591915137,0.2179816134184357,0.15199251062166858
OSQP,0.03712204220903312,0.21899436516935933,0.15223586365413394
OSQP,0.0382996251616273,0.22003924336393024,0.15249447412921904
OSQP,0.03951456332227906,0.2211172671150557,0.1527692710760333
OSQP,0.040768041670412536,0.22222948786387522,0.15306123665363033
OSQP,0.042061282775290254,0.2233769904052738,0.15337140876979377
OSQP,0.043395547988435576,0.22456089394592763,0.15370088377860694
OSQP,0.04477213867388096,0.22578235319591303,0.1540508192529787
OSQP,0.04619239747744206,0.22704255949494195,0.15442243682738185
OSQP,0.04765770963625571,0.22834274197432564,0.15481702510507905
OSQP,0.04916950432985915,0.2296841687557971,0.1552359426230547
OSQP,0.05072925607412767,0.2306573833943808,0.15554864538991298
OSQP,0.05233848615943104,0.23161540749913848,0.15586570910962377
OSQP,0.053998764134410966,0.23260152152499447,0.15620172832655183
OSQP,0.055711709336826704,0.23361891699929205,0.15655861162037063
OSQP,0.057478992472962065,0.23466858622512085,0.15693760438413823
OSQP,0.05930233724713452,0.23575155298827882,0.1573400202407174
OSQP,0.061183522042895164,0.23686887355102978,0.15776724405969783
OSQP,0.06312438165755971,0.2380216376823177,0.1582207350235768
OSQP,0.06512680909176222,0.23921096972066547,0.15870202973477157
OSQP,0.06719275739577694,0.24043802967078703,0.15921274535296545
OSQP,0.069324241574409,0.24170401433498945,0.15975458275105342
OSQP,0.07152334055231169,0.2430101584804622,0.16032932967668762
OSQP,0.07379219920164795,0.24435773604359762,0.16093886390519274
OSQP,0.07613303043407274,0.24574806137251354,0.16158515636841425
OSQP,0.07854811735907721,0.2471824905089912,0.16227027424293375
OSQP,0.08103981551079979,0.248662422688947,0.16299638399600186
OSQP,0.08361055514547634,0.2501888572104947,0.16376552940461261
OSQP,0.08626284361176907,0.25176324267618905,0.16458005596745642
OSQP,0.08899926779628765,0.25335958533573144,0.16542780953556327
OSQP,0.09182249664668668,0.25500062407640495,0.1663222642210869
OSQP,0.0947352837748007,0.2566937190336234,0.16726911133261016
OSQP,0.09774047014235544,0.2584405222363978,0.16827112902023864
OSQP,0.10084098683187565,0.2602427374141267,0.16933121203440757
OSQP,0.10403985790549065,0.2621021223417909,0.17045237374218747
OSQP,0.1073402033544276,0.2640204905543944,0.1716377478712721
OSQP,0.11074524214206764,0.2659997131157763,0.17289059001867574
OSQP,0.11425829534353403,0.26804172044353886,0.17421427891210503
OSQP,0.11788278938487422,0.2701485041918636,0.17561231741492303
OSQP,0.12162225938499452,0.2723221191940522,0.1770883332690702
