K,method,n_selected_y,n_active_holdings,in_sample_return,in_sample_vol,in_sample_sharpe,solve_time_s
5,MIQP K<=5,5,5,0.3443465460836771,0.22065977201004702,1.5605315955279715,0.07887667500017415
5,greedy top-5,5,5,0.34313781674613497,0.22074323785126582,1.5544658132510367,
7,MIQP K<=7,7,6,0.34429419708366404,0.21941451177556692,1.5691496168486483,0.13432290400032798
7,greedy top-7,7,5,0.3435234717689791,0.21387003925513115,1.6062253177930221,
10,MIQP K<=10,7,6,0.3442941925051223,0.21941441417729457,1.569150293958903,0.14563877599994157
10,greedy top-10,10,6,0.34429419160292957,0.21941448105542743,1.56914981156579,
15,MIQP K<=15,7,6,0.3442941925051223,0.21941441417729457,1.569150293958903,0.1483028029997513
15,greedy top-15,15,6,0.3442941894060857,0.21941443357382714,1.569150141119772,
20,MIQP K<=20,7,6,0.3442941925051223,0.21941441417729457,1.569150293958903,0.14420804400015186
20,greedy top-20,20,6,0.3442941878303071,0.21941440026792994,1.5691503721263724,
