Date,ASIANPAINT,AXISBANK,BAJFINANCE,BHARTIARTL,BPCL,BRITANNIA,CIPLA,DRREDDY,EICHERMOT,GAIL,GRASIM,HCLTECH,HDFC,HDFCBANK,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,IOC,ITC,KOTAKBANK,MARUTI,MM,NIFTY50_all,ONGC,RELIANCE,SBIN,SHREECEM,SUNPHARMA,TATAMOTORS,TATASTEEL,TITAN,UPL,VEDL,WIPRO,ZEEL
2004-01-23,342.05,159.8,81.6,126.35,458.15,672.55,1295.35,1367.8,247.2,215.9,1126.95,323.55,629.65,364.85,455.2,1282.15,195.2,293.7,42.2,5461.25,459.3,1028.8,370.35,415.45,406.2,155.25,781.85,557.85,622.25,121.1,604.65,466.3,425.75,120.15,553.8,618.25,1719.95,155.25
2004-01-27,341.4,166.7,84.8,147.1,483.2,671.8,1279.95,1425.5,245.5,229.2,1124.0,324.9,619.65,365.6,464.4,1322.95,201.45,305.5,44.0,5561.45,481.05,1053.55,373.75,431.35,421.1,159.1,811.4,580.65,648.65,131.25,621.2,510.55,443.5,123.45,540.35,623.1,1731.15,159.1
2004-01-28,335.4,170.75,84.1,139.6,469.35,653.85,1276.95,1432.15,245.9,225.0,1114.45,319.5,655.35,360.2,459.0,1253.25,193.15,293.65,43.15,5417.45,464.3,1017.6,405.35,418.7,403.45,160.3,772.8,575.7,631.7,130.2,618.0,518.1,434.9,118.4,538.85,629.0,1648.1,160.3
2004-01-29,332.6,175.4,82.5,138.7,457.95,650.25,1221.9,1432.0,246.25,225.15,1146.05,315.65,649.45,356.0,448.05,1237.0,187.9,287.65,42.95,5253.1,459.6,1028.7,398.85,433.8,405.65,156.0,767.2,571.5,626.7,134.55,624.6,528.9,431.0,120.25,515.1,625.95,1573.8,156.0
2004-01-30,322.5,164.7,79.95,134.65,464.55,656.8,1202.4,1398.25,245.0,220.7,1113.15,303.5,649.3,344.95,452.1,1161.35,187.9,295.05,42.2,5212.8,444.35,1024.9,398.2,431.75,409.25,151.55,740.6,560.55,598.05,137.15,610.75,520.4,406.2,113.15,482.95,604.7,1558.8,151.55
2004-02-03,320.05,139.0,76.55,128.25,433.65,655.0,1142.4,1289.55,236.3,200.9,1109.65,300.55,648.95,336.7,438.85,1193.75,190.2,295.3,39.75,5197.7,414.65,1010.9,378.7,406.45,411.8,134.65,692.0,553.7,567.3,126.45,640.3,509.6,385.75,107.8,461.45,607.3,1525.45,134.65
2004-02-04,320.05,144.35,78.3,130.75,436.0,660.1,1147.95,1323.2,227.9,213.9,1096.45,298.9,649.8,349.95,460.75,1217.95,193.2,302.4,39.15,5359.9,430.3,1001.5,379.45,442.55,439.95,155.65,716.15,571.4,589.65,119.8,633.0,544.4,415.5,102.1,475.15,604.9,1517.2,155.65
2004-02-05,320.15,142.65,78.6,128.35,437.0,659.05,1151.2,1309.45,220.75,213.35,1074.0,289.05,646.9,356.75,463.0,1207.5,193.65,306.55,39.25,5439.45,432.2,974.85,372.6,433.5,440.65,147.0,712.15,564.6,579.35,113.75,637.3,517.0,400.45,102.9,480.15,600.6,1499.0,147.0
2004-02-06,320.25,140.7,78.55,139.8,466.7,655.7,1148.6,1332.85,221.5,217.3,1082.05,284.2,647.9,354.75,463.9,1215.65,189.5,321.3,40.25,5558.55,466.45,990.1,369.6,448.65,441.6,144.7,734.85,575.4,595.55,113.3,627.5,532.0,413.3,97.2,480.75,589.2,1555.7,144.7
2004-02-09,320.2,143.35,79.95,138.9,474.75,667.5,1165.2,1250.35,219.9,222.4,1113.45,299.95,659.85,364.25,483.1,1295.15,193.0,332.0,41.95,5650.45,477.6,995.7,382.65,465.65,454.2,151.5,744.65,588.7,622.8,114.75,639.5,542.1,422.75,97.7,471.95,581.1,1625.35,151.5
2004-02-10,320.35,157.4,78.25,138.1,488.45,657.8,1173.6,1237.2,222.25,230.9,1109.4,293.65,669.85,372.85,480.3,1330.0,194.45,348.25,41.25,5507.95,478.35,1004.8,380.0,460.65,442.5,147.75,745.0,593.25,611.1,119.6,626.65,534.2,415.25,96.05,477.8,556.8,1598.05,147.75
2004-02-11,321.15,153.2,79.0,141.6,485.0,667.3,1172.7,1260.8,218.65,229.6,1153.1,300.1,677.6,374.55,483.15,1388.95,195.5,318.1,41.95,5471.4,486.5,1009.45,385.45,473.85,448.0,151.25,749.7,587.3,627.3,129.05,637.8,542.4,430.35,94.4,479.75,592.95,1608.9,151.25
2004-02-12,320.3,151.6,78.1,147.45,491.7,665.95,1176.6,1241.9,219.8,225.6,1135.8,295.2,670.45,374.55,505.6,1345.6,197.15,318.85,41.9,5353.15,489.25,1009.75,384.9,480.65,463.4,151.55,736.95,587.7,617.6,135.0,630.45,541.1,426.65,94.75,486.35,650.05,1577.35,151.55
